x1,y1,x2,y2
4,5,23,24
6,4,22,23
3,5,22,24
8,5,21,24
6,7,20,26
5,5,24,22
11,4,18,23
5,5,22,24
12,5,16,24
6,4,23,23
6,4,19,23
6,7,25,20
3,5,22,24
7,2,22,21
11,5,15,24
6,7,21,26
6,5,25,22
7,5,22,24
9,3,19,22
7,7,20,26
3,4,22,23
5,4,22,23
9,6,20,25
8,5,21,24
6,3,21,22
5,4,24,23
8,6,19,25
4,5,23,24
4,5,23,24
1,8,20,23
3,7,22,22
5,5,23,24
9,2,21,21
5,7,21,26
8,5,21,24
5,6,24,21
9,3,21,22
7,4,22,23
5,7,24,24
8,4,21,23
12,5,17,24
8,4,21,23
7,7,18,26
9,6,19,25
6,6,19,25
7,7,20,26
7,5,20,24
6,6,25,23
9,5,18,24
3,5,22,24
7,4,20,23
4,5,22,24
5,7,22,26
8,7,23,26
6,7,23,26
7,6,24,25
6,5,23,24
9,7,20,26
5,5,19,24
8,4,20,23
4,5,23,22
8,6,21,25
9,4,20,23
4,5,23,24
6,5,23,24
6,7,25,22
8,2,21,21
10,5,19,24
5,4,24,23
7,5,21,24
9,3,20,22
6,8,21,27
12,4,15,23
8,2,21,21
7,5,19,24
6,5,21,24
5,4,24,23
9,5,19,24
8,4,19,23
6,7,21,26
8,4,21,23
6,5,21,24
6,3,22,22
7,2,22,21
3,7,20,26
6,5,23,24
3,6,22,25
7,7,21,26
6,4,23,23
5,6,24,25
7,2,22,21
5,8,22,27
8,5,19,24
8,3,21,22
8,5,21,24
7,4,20,23
8,7,19,26
7,5,22,24
8,5,19,24
8,5,19,24
10,6,21,25
3,7,22,26
12,4,15,23
6,7,21,26
11,4,17,23
9,4,20,23
8,3,21,22
4,4,21,23
5,4,24,23
7,6,26,19
7,6,20,25
3,6,22,25
12,4,17,23
7,4,19,23
5,5,24,23
6,5,23,24
7,7,19,26
5,5,24,22
7,4,22,23
4,4,23,23
4,5,23,24
5,4,24,23
6,2,21,21
5,8,22,27
11,5,16,24
7,4,22,23
8,3,21,22
6,5,25,24
11,4,17,23
7,3,20,22
7,5,20,24
6,6,23,25
7,4,17,23
10,7,19,26
6,4,21,23
2,4,21,23
7,5,20,24
8,5,20,24
6,4,21,23
7,5,22,24
7,5,18,24
5,7,21,26
8,5,23,24
5,6,24,20
8,5,21,24
6,7,25,22
6,4,24,23
9,3,20,22
6,5,19,24
4,5,20,24
5,5,24,24
8,2,21,21
10,4,17,23
8,7,19,26
5,7,21,26
8,2,21,21
5,6,24,23
3,4,22,23
6,7,21,26
6,6,25,21
8,4,21,23
5,4,24,23
8,6,19,25
7,5,23,24
5,5,22,24
8,2,21,21
8,4,21,23
8,7,21,26
7,6,20,25
6,4,21,23
7,7,19,26
6,5,25,22
5,7,22,26
5,7,24,20
12,5,17,24
6,7,25,22
8,7,18,26
9,5,19,24
5,3,22,22
4,5,23,23
10,3,19,22
4,6,23,25
7,4,21,23
7,7,20,26
11,4,16,23
3,8,22,25
9,3,22,22
5,3,24,22
8,5,20,24
6,6,25,21
5,2,22,21
6,7,25,22
7,3,22,22
4,7,23,25
7,5,20,24
8,6,21,25
4,8,20,27
7,5,24,24
4,4,20,23
5,7,24,20
11,4,17,23
5,5,21,24
6,4,24,23
4,6,23,24
10,2,21,21
7,4,20,23
4,5,23,24
4,6,23,23
11,4,18,23
5,4,24,23
8,5,21,24
11,4,18,23
7,6,17,25
4,3,23,22
2,7,21,26
3,4,20,23
7,5,21,24
7,4,20,23
9,3,22,22
4,4,23,23
5,4,24,23
6,2,22,21
5,5,22,24
9,7,22,26
5,4,22,23
5,4,21,23
6,7,18,26
9,6,24,25
5,5,21,24
5,4,24,23
8,7,21,26
10,4,17,23
9,3,19,22
4,3,21,22
6,4,21,23
3,4,21,23
6,5,25,24
6,4,20,23
8,3,21,22
4,6,23,22
10,5,21,24
6,1,23,20
4,4,21,23
6,7,20,26
7,5,22,24
7,5,22,24
5,5,24,24
9,6,22,25
11,4,20,23
5,4,24,23
3,8,22,21
11,4,26,23
6,4,25,21
3,3,22,22
6,4,21,23
3,4,22,23
9,3,20,22
6,4,22,23
8,6,19,25
3,5,22,22
5,8,24,21
7,2,22,21
5,2,23,21
6,7,22,26
6,5,21,24
6,5,21,24
6,4,23,23
8,6,19,25
5,7,24,22
9,4,18,23
11,4,16,23
7,4,20,23
4,6,23,25
3,7,22,22
7,3,20,22
6,4,21,23
12,4,17,23
3,3,21,22
7,3,20,22
4,5,20,24
8,7,19,26
3,4,22,23
5,8,20,27
5,4,24,23
5,5,22,24
9,6,18,25
7,3,22,22
4,7,23,20
6,7,19,26
6,4,21,23
11,4,18,23
3,4,20,23
8,4,23,23
6,4,23,23
4,6,23,24
7,4,22,23
6,3,23,22
5,4,22,23
6,5,21,24
6,2,22,21
9,5,20,24
8,7,21,26
7,2,20,21
5,4,23,23
8,7,17,26
7,7,21,26
4,6,23,23
9,7,20,26
4,4,22,23
9,4,18,23
13,4,16,23
6,2,21,21
6,5,25,24
8,6,19,25
7,5,22,24
9,4,20,23
6,5,21,24
4,3,22,22
